"DAY","TIME","THICK1","THICK2","MEAN","RANGE"
1,1899-12-31 07:00:00,0.167,0.232,0.1995,0.065
1,1899-12-31 09:00:00,0.241,0.203,0.222,0.038
1,1899-12-31 11:00:00,0.204,0.214,0.209,0.01
1,1899-12-31 13:00:00,0.221,0.19,0.2055,0.031
1,1899-12-31 15:00:00,0.255,0.207,0.231,0.048
1,1899-12-31 17:00:00,0.224,0.238,0.231,0.014
1,1899-12-31 19:00:00,0.216,0.21,0.231,0.006
1,1899-12-31 21:00:00,0.235,0.21,0.2225,0.025
2,1899-12-31 07:00:00,0.223,0.216,0.2195,0.007
2,1899-12-31 09:00:00,0.202,0.215,0.2085,0.013
2,1899-12-31 11:00:00,0.258,0.228,0.243,0.03
2,1899-12-31 13:00:00,0.243,0.221,0.232,0.022
2,1899-12-31 15:00:00,0.248,0.252,0.25,0.004
2,1899-12-31 17:00:00,0.192,0.221,0.2065,0.029
2,1899-12-31 19:00:00,0.208,0.245,0.2265,0.037
2,1899-12-31 21:00:00,0.223,0.224,0.2235,0.001
