"CONTRACT","COST","DOTEST","B2B1RAT","B3B1RAT","BHB1RAT","STATUS","DISTRICT","BTPRATIO","DAYSEST"
1,1379.4,1386.3,1.01397,1.03303,1.06121,1,0,0.33333,250
2,134,85.7,1.00995,1.01092,1.01092,1,1,0.75,45
3,202.3,248.9,1.12084,1.22498,1.30546,0,0,0.5,120
4,397.1,467.5,1.00588,1.11035,1.26733,0,0,0.5,180
5,158.5,117.7,1.01053,1.10247,1.10247,1,0,0.375,80
6,1128.1,1008.9,1.06208,1.09137,1.09137,1,0,0.6,200
7,400.3,473,1.10275,1.1356,1.1356,1,1,0.6,70
8,581.6,785.4,1.09346,1.16794,1.33349,0,0,0.5,200
9,354,370,1.05063,1.28312,1.47836,0,1,0.57143,75
10,138.7,174.3,1.07047,1.19279,1.27559,0,0,0.83333,70
11,383.7,411,1.07508,1.1397,1.1397,1,1,0.42857,60
12,3910.9,3405.9,1.02768,1.04733,1.07683,1,1,0.45455,350
13,362.9,386,1.01691,1.04658,1.04658,0,1,0.375,100
14,196.5,235.4,1.16398,1.19491,1.62532,0,0,0.7,120
15,638,627.4,1.07043,1.16355,1.58125,0,0,0.5,140
16,152.1,175.4,1.07504,1.24451,1.24451,1,1,0.5,75
17,375,432.3,1.05025,1.20642,1.30949,0,0,0.57143,120
18,2284.6,1499,1.016,1.20033,1.20033,1,0,0.6,270
19,551.5,497.7,1.06668,1.10932,1.10932,1,1,0.6,100
20,239.7,194.7,1.02302,1.21276,1.21276,1,1,0.6,65
21,207.9,168,1.05143,1.08977,1.1524,1,1,0.66667,60
22,640.5,767.8,1.06059,1.08447,1.27066,0,0,0.4,90
23,230.5,260.3,1.11029,1.1257,1.1257,1,1,0.42857,125
24,299.9,247,1.08411,1.1018,1.1018,1,1,0.6,80
25,2368.8,2456.8,1.17209,1.1802,1.4855,0,0,0.30769,320
26,496.5,879.4,1.00453,1.17145,1.38498,0,0,0.58333,140
27,1564.9,1303.4,1.00374,1.04983,1.04983,1,0,0.33333,200
28,7387,6107.9,1.01878,1.05413,1.05718,0,1,0.66667,340
29,195.7,199.1,1.0429,1.27466,1.27466,0,1,0.6,50
30,830.5,715.5,1.01755,1.0245,1.08833,1,0,0.57143,135
31,179.1,208.7,1.02474,1.03067,1.6058,0,1,0.625,90
32,150.4,199.1,1.00893,1.06483,1.55218,0,0,0.63636,100
33,240.1,429.2,1.10055,1.16394,1.72898,0,0,0.71429,120
34,586.8,709.9,1.01241,1.08838,1.38652,0,0,0.6,120
35,537.2,676.4,1.03962,1.06037,1.25739,0,0,0.72727,225
36,392.7,490.6,1.07153,1.1277,1.64803,0,1,0.5,180
37,216.5,406.5,1.05636,1.13153,1.57543,0,1,0.82353,130
38,1559.4,1925.3,1.0785,1.0813,1.60339,0,1,0.47619,250
39,88.3,143.1,1.09813,1.26329,1.50073,0,0,0.71429,55
40,268.5,308.1,1.14764,1.1719,1.32518,0,1,0.66667,75
41,189,269.6,1.00993,1.14649,1.95409,0,0,0.85714,115
42,192.8,227.7,1.04378,1.15395,1.4516,0,1,0.83333,60
43,256.2,436.8,1,1.09973,1.89401,0,0,0.88235,125
44,113.6,132.4,1.01195,1.01307,1.6067,0,0,0.69231,70
45,125,121.6,1,1.11019,1.26999,0,0,0.57143,40
46,116.6,114.2,1,1.21566,1.91806,0,0,0.57143,35
47,143.1,172.7,1.08608,1.139,1.38149,0,0,0.6,50
48,36.2,64.4,1.25303,1.31504,1.49919,0,1,0.625,60
49,2518.4,3124.4,1.02196,1.04278,1.3192,0,0,0.57143,255
50,1353.5,1617.5,1.12729,1.22658,1.406,0,1,0.41176,200
51,332.8,376.4,1.00024,1.05449,1.53705,0,0,0.61538,140
52,202.5,300.3,1.1881,1.2318,1.92381,0,0,0.41667,100
53,6043.3,7075,1.02471,1.02528,1.22949,0,0,0.57895,350
54,2280.8,2823.9,1.08084,1.09406,1.39083,0,0,0.53333,330
55,99.9,119,1.16879,1.29648,1.58897,1,0,0.55556,70
56,1461.6,1774.7,1.01678,1.16689,1.54772,0,1,0.57143,220
57,1217.6,1341.1,1.01074,1.01149,1.3908,0,0,0.91667,350
58,258.4,306.4,1.00453,1.01727,1.25857,0,0,0.7,75
59,115.4,117.9,1.06379,1.09767,1.44878,0,1,0.85714,65
60,463.9,540,1.07317,1.10858,1.35774,0,1,0.625,120
61,728.9,763,1.02446,1.03732,1.44687,0,0,0.73333,200
62,3929.9,3941.6,1.00506,1.06041,1.23232,0,0,0.66667,400
63,181.7,194.8,1.08679,1.16042,1.37565,0,1,0.625,60
64,479.5,487.2,1,1.04831,1.3551,0,0,0.53333,140
65,93.5,92.4,1.00468,1.02595,1.19858,0,0,0.83333,60
66,2301.1,2505.6,1.06746,1.09047,1.38057,0,0,0.77778,400
67,136.1,181.1,1.1352,1.23219,1.23219,0,1,0.33333,100
68,144.1,252.9,1.30227,1.30894,1.71178,0,1,0.66667,90
69,65.2,84.8,1.2031,1.36565,1.96397,0,0,0.53846,60
